Neispravan redak 10 u datoteci ..\..\datoteke_podataka\dz2\DZ_2_ulice.txt.
Neispravan redak 4 u datoteci ..\..\datoteke_podataka\dz2\DZ_2_spremnici.txt.
Neispravan redak 8 u datoteci ..\..\datoteke_podataka\dz2\DZ_2_podrucja.txt.

ISPIS PRIDRUZENE KOLICINE OTPADA ZA KORISNIKE
|   ID|     Kategorija|       Bio|     Metal|   Mjesano|     Papir|    Staklo|                         Ulica|

|        ID|                         Naziv|         Podpodrucja|    Staklo|     Papir|     Metal|       Bio|   Mjesano|
|        p1|     EZO Aglomeracija Varaždin|              p2 p3 | 2245,38kg| 4479,83kg| 1092,11kg|       0kg|11793,24kg|
|        p2|                 Varaždin grad|           p4 p5 p6 | 2060,42kg| 4350,77kg| 1038,48kg|       0kg|11176,53kg|
|        p3|              Varaždin okolica|                 p7 |  184,96kg|  129,06kg|   53,63kg|       0kg|  616,71kg|
|        p4|                        Centar|           u1 u2 u3 |  578,36kg|   900,8kg|  231,89kg|       0kg| 3016,48kg|
|        p5|                       Banfica|              u7 u8 |  436,77kg|  975,33kg|  224,56kg|       0kg| 1920,65kg|
|        p6|                         Đurek|           u4 u5 u6 | 1045,29kg| 2474,64kg|  582,03kg|       0kg|  6239,4kg|
|        p7|                      Hrašcica|                u11 |  184,96kg|  129,06kg|   53,63kg|       0kg|  616,71kg|

Pristigla je komanda PRIPREMI.
KOMANDA PRIPREMI. Vozilo v1 je u listi za obradu i stavljeno u status skupljanja.
KOMANDA PRIPREMI. Vozilo v2 je u listi za obradu i stavljeno u status skupljanja.
KOMANDA PRIPREMI. Vozilo v5 je u listi za obradu i stavljeno u status skupljanja.
KOMANDA PRIPREMI. Vozilo v7 je u listi za obradu i stavljeno u status skupljanja.
Pristigla je komanda KRENI_N1000.
C1 Vozilo v1 (Staklo) trenutno ima 41,98kg otpada, preostali kapacitet je 3958,02kg.
C2 Vozilo v2 (Papir) trenutno ima 13,92kg otpada, preostali kapacitet je 2986,08kg.
C3 Vozilo v5 (Mješano) trenutno ima 25,5kg otpada, preostali kapacitet je 3974,5kg.
C4 Vozilo v7 (Mješano) trenutno ima 22,37kg otpada, preostali kapacitet je 2977,63kg.
C5 Vozilo v1 (Staklo) trenutno ima 51,25kg otpada, preostali kapacitet je 3948,75kg.
C6 Vozilo v2 (Papir) trenutno ima 33,79kg otpada, preostali kapacitet je 2966,21kg.
C7 Vozilo v5 (Mješano) trenutno ima 52,17kg otpada, preostali kapacitet je 3947,83kg.
C8 Vozilo v7 (Mješano) trenutno ima 45,59kg otpada, preostali kapacitet je 2954,41kg.
C9 Vozilo v1 (Staklo) trenutno ima 62,01kg otpada, preostali kapacitet je 3937,99kg.
C10 Vozilo v2 (Papir) trenutno ima 44,55kg otpada, preostali kapacitet je 2955,45kg.
C11 Vozilo v5 (Mješano) trenutno ima 73,73kg otpada, preostali kapacitet je 3926,27kg.
C12 Vozilo v7 (Mješano) trenutno ima 64,81kg otpada, preostali kapacitet je 2935,19kg.
C13 Vozilo v1 (Staklo) trenutno ima 81,29kg otpada, preostali kapacitet je 3918,71kg.
C14 Vozilo v2 (Papir) trenutno ima 56,6kg otpada, preostali kapacitet je 2943,4kg.
C15 Vozilo v5 (Mješano) trenutno ima 94,88kg otpada, preostali kapacitet je 3905,12kg.
C16 Vozilo v7 (Mješano) trenutno ima 70,52kg otpada, preostali kapacitet je 2929,48kg.
C17 Vozilo v1 (Staklo) trenutno ima 94,32kg otpada, preostali kapacitet je 3905,68kg.
C18 Vozilo v2 (Papir) trenutno ima 76,17kg otpada, preostali kapacitet je 2923,83kg.
C19 Vozilo v5 (Mješano) trenutno ima 112,57kg otpada, preostali kapacitet je 3887,43kg.
C20 Vozilo v7 (Mješano) trenutno ima 79,86kg otpada, preostali kapacitet je 2920,14kg.
C21 Vozilo v1 (Staklo) trenutno ima 104,74kg otpada, preostali kapacitet je 3895,26kg.
C22 Vozilo v2 (Papir) trenutno ima 94,69kg otpada, preostali kapacitet je 2905,31kg.
C23 Vozilo v5 (Mješano) trenutno ima 117,29kg otpada, preostali kapacitet je 3882,71kg.
C24 Vozilo v7 (Mješano) trenutno ima 86,14kg otpada, preostali kapacitet je 2913,86kg.
C25 Vozilo v1 (Staklo) trenutno ima 115,21kg otpada, preostali kapacitet je 3884,79kg.
C26 Vozilo v2 (Papir) trenutno ima 157,62kg otpada, preostali kapacitet je 2842,38kg.
C27 Vozilo v5 (Mješano) trenutno ima 131,79kg otpada, preostali kapacitet je 3868,21kg.
C28 Vozilo v7 (Mješano) trenutno ima 240,71kg otpada, preostali kapacitet je 2759,29kg.
C29 Vozilo v1 (Staklo) trenutno ima 122,97kg otpada, preostali kapacitet je 3877,03kg.
C30 Vozilo v2 (Papir) trenutno ima 302,22kg otpada, preostali kapacitet je 2697,78kg.
C31 Vozilo v5 (Mješano) trenutno ima 370,54kg otpada, preostali kapacitet je 3629,46kg.
C32 Vozilo v7 (Mješano) trenutno ima 356,23kg otpada, preostali kapacitet je 2643,77kg.
C33 Vozilo v1 (Staklo) trenutno ima 167,25kg otpada, preostali kapacitet je 3832,75kg.
C34 Vozilo v2 (Papir) trenutno ima 440,6kg otpada, preostali kapacitet je 2559,4kg.
C35 Vozilo v5 (Mješano) trenutno ima 519,3kg otpada, preostali kapacitet je 3480,7kg.
C36 Vozilo v7 (Mješano) trenutno ima 551,05kg otpada, preostali kapacitet je 2448,95kg.
C37 Vozilo v1 (Staklo) trenutno ima 211,05kg otpada, preostali kapacitet je 3788,95kg.
C38 Vozilo v2 (Papir) trenutno ima 559,33kg otpada, preostali kapacitet je 2440,67kg.
C39 Vozilo v5 (Mješano) trenutno ima 760,53kg otpada, preostali kapacitet je 3239,47kg.
C40 Vozilo v7 (Mješano) trenutno ima 645,6301kg otpada, preostali kapacitet je 2354,37kg.
C41 Vozilo v1 (Staklo) trenutno ima 246,63kg otpada, preostali kapacitet je 3753,37kg.
C42 Vozilo v2 (Papir) trenutno ima 659,46kg otpada, preostali kapacitet je 2340,54kg.
C43 Vozilo v5 (Mješano) trenutno ima 1043,54kg otpada, preostali kapacitet je 2956,46kg.
C44 Vozilo v7 (Mješano) trenutno ima 818,41kg otpada, preostali kapacitet je 2181,59kg.
C45 Vozilo v1 (Staklo) trenutno ima 269,79kg otpada, preostali kapacitet je 3730,21kg.
C46 Vozilo v2 (Papir) trenutno ima 784,3kg otpada, preostali kapacitet je 2215,7kg.
C47 Vozilo v5 (Mješano) trenutno ima 1338,19kg otpada, preostali kapacitet je 2661,81kg.
C48 Vozilo v7 (Mješano) trenutno ima 1115,74kg otpada, preostali kapacitet je 1884,26kg.
C49 Vozilo v1 (Staklo) trenutno ima 311,03kg otpada, preostali kapacitet je 3688,97kg.
C50 Vozilo v2 (Papir) trenutno ima 874,5101kg otpada, preostali kapacitet je 2125,49kg.
C51 Vozilo v5 (Mješano) trenutno ima 1551,92kg otpada, preostali kapacitet je 2448,08kg.
C52 Vozilo v7 (Mješano) trenutno ima 1223,98kg otpada, preostali kapacitet je 1776,02kg.
C53 Vozilo v1 (Staklo) trenutno ima 356,97kg otpada, preostali kapacitet je 3643,03kg.
C54 Vozilo v2 (Papir) trenutno ima 1006,56kg otpada, preostali kapacitet je 1993,44kg.
C55 Vozilo v5 (Mješano) trenutno ima 1691,79kg otpada, preostali kapacitet je 2308,21kg.
C56 Nema vise otpada za vozilo v7
C57 Vozilo v1 (Staklo) trenutno ima 387,7kg otpada, preostali kapacitet je 3612,3kg.
C58 Vozilo v2 (Papir) trenutno ima 1076,97kg otpada, preostali kapacitet je 1923,03kg.
C59 Nema vise otpada za vozilo v5
C60 Vozilo v1 (Staklo) trenutno ima 416,48kg otpada, preostali kapacitet je 3583,52kg.
C61 Vozilo v2 (Papir) trenutno ima 1133,91kg otpada, preostali kapacitet je 1866,09kg.
C62 Vozilo v1 (Staklo) trenutno ima 447,33kg otpada, preostali kapacitet je 3552,67kg.
C63 Vozilo v2 (Papir) trenutno ima 1255,24kg otpada, preostali kapacitet je 1744,76kg.
C64 Vozilo v1 (Staklo) trenutno ima 480,35kg otpada, preostali kapacitet je 3519,65kg.
C65 Vozilo v2 (Papir) trenutno ima 1329,95kg otpada, preostali kapacitet je 1670,05kg.
C66 Vozilo v1 (Staklo) trenutno ima 513,99kg otpada, preostali kapacitet je 3486,01kg.
C67 Nema vise otpada za vozilo v2
C68 Vozilo v1 (Staklo) trenutno ima 539,89kg otpada, preostali kapacitet je 3460,11kg.
C69 Nema vise otpada za vozilo v1
C70 Zavrseno izvrsavanje komande KRENI_N.

Pristigla je komanda KVAR.
KOMANDA KVAR. Vozilo v5 je u stanju kvara.
Pristigla je komanda STATUS.
|   ID|          Naziv|          Vrsta|  Nosivost|     Kolicina otpada|              Stanje|
|   v1|    staklarko 1|         Staklo|      4000|              539,89|           Parkirano|
|   v2|    papirko 1  |          Papir|      3000|             1329,95|           Parkirano|
|   v7|    mješanko 3 |        Mješano|      3000|             1223,98|           Parkirano|

Pristigla je komanda PRIPREMI.
KOMANDA PRIPREMI. Vozilo v6 je u listi za obradu i stavljeno u status skupljanja.
Pristigla je komanda KRENI_N500.
C1 Nema vise otpada za vozilo v6
C2 Zavrseno izvrsavanje komande KRENI_N.

Pristigla je komanda ISPRAZNI.
KOMANDA ISPRAZNI. Vozilo v1 je poslano na odvoz.
KOMANDA ISPRAZNI. Vozilo v7 je poslano na odvoz.
Pristigla je komanda PRIPREMI.
KOMANDA PRIPREMI. Vozilo v3 je u listi za obradu i stavljeno u status skupljanja.
KOMANDA PRIPREMI. Vozilo v4 je u listi za obradu i stavljeno u status skupljanja.
KOMANDA PRIPREMI. Vozilo v5 je vec u listi za obradu.
Pristigla je komanda KRENI.
C1 Vozilo v3 (Metal) trenutno ima 14,47kg otpada, preostali kapacitet je 4985,53kg.
C2 Nema vise otpada za vozilo v4
C3 Vozilo v3 (Metal) trenutno ima 19,04kg otpada, preostali kapacitet je 4980,96kg.
C4 Vozilo v3 (Metal) trenutno ima 34,48kg otpada, preostali kapacitet je 4965,52kg.
C5 Vozilo v3 (Metal) trenutno ima 35,51kg otpada, preostali kapacitet je 4964,49kg.
C6 Vozilo v3 (Metal) trenutno ima 93,67999kg otpada, preostali kapacitet je 4906,32kg.
C7 Vozilo v3 (Metal) trenutno ima 166,99kg otpada, preostali kapacitet je 4833,01kg.
C8 Vozilo v3 (Metal) trenutno ima 226,77kg otpada, preostali kapacitet je 4773,23kg.
C9 Vozilo v3 (Metal) trenutno ima 287,74kg otpada, preostali kapacitet je 4712,26kg.
C10 Nema vise otpada za vozilo v3
C11 Zavrseno izvrsavanje komande KRENI.

KRAJ DANA Vozilo v1 (539,89/4000kg) mora na odvoz.
KRAJ DANA Vozilo v2 (1329,95/3000kg) mora na odvoz.
KRAJ DANA Vozilo v5 (1691,79/4000kg) mora na odvoz.
KRAJ DANA Vozilo v7 (1223,98/3000kg) mora na odvoz.
KRAJ DANA Vozilo v3 (287,74/5000kg) mora na odvoz.

STATISTIKA - VOZILA
|   ID|       Odlasci na deponij|       Preuzeti spremnici|           Preuzeti otpad|
|   v1|                        2|                       20|                 539,89kg|
|   v2|                        1|                       18|                1329,95kg|
|   v3|                        1|                        8|                 287,74kg|
|   v4|                        0|                        0|                      0kg|
|   v5|                        1|                       14|                1691,79kg|
|   v6|                        0|                        0|                      0kg|
|   v7|                        2|                       13|                1223,98kg|

STATISTIKA - KOLICINA OTPADA NA DEPONIJU
|    STAKLO|  539,89kg|
|     PAPIR| 1329,95kg|
|     METAL|  287,74kg|
|       BIO|       0kg|
|   MJEŠANO| 2915,77kg|

